"Fergusson College, Pune"
RUIA College - Ramnarain Ruia College
SP College Pune - Sir Parashurambhau College
"Dr DY Patil Arts Commerce and Science College, Pune"
"MES Abasaheb Garware College, Pune"
"Nowrosjee Wadia College, Pune"
"Viva College, Virar"
BK Birla college Kalyan - BK Birla College of Arts Science and Commerce
KBP College Vashi - Karmaveer Bhaurao Patil College
"Nagindas Khandwala College, Mumbai"
KC College Mumbai - Kishinchand Chellaram College
Khalsa College Mumbai - Guru Nanak Khalsa College of Arts Science and Commerce
"Gokhale Education Society's HPT Arts and RYK Science College, Nashik"
R J College Mumbai - Ramniranjan Jhunjhunwala College
New Arts College Ahmednagar - AJMVP New Arts Commerce and Science College
ICCS Pune - Indira College of Commerce and Science
KTHM College Nashik - KRT Arts BH Commerce and AM Science College
Kirti College - Kirti M Doongursee College of Arts Science and Commerce
"KC College of Arts, Commerce and Science, Mumbai"
"Modern College of Arts, Science and Commerce, Ganeshkhind, Pune"
"Pillai College of Arts, Commerce and Science, New Panvel"
"BNN College, Bhiwandi"
CHM Ulhasnagar - Smt Chandibai Himathmal Mansukhani College
"SIES College of Arts Science and Commerce, Mumbai"
"Kamla Nehru Mahavidyalaya, Nagpur"
"Model College, Dombivli"
"Thakur College of Science and Commerce, Mumbai"
"Deogiri College, Aurangabad"
"Satish Pradhan Dnyanasadhana College, Thane"
Shahu College Latur - Rajarshi Shahu College
