"D G Ruparel College of Arts Science and Commerce, Mumbai"
"Jeevandeep Shaikshnik Santha Arts Commerce and Science College, Goveli"
"St Mira's College for Girls, Pune"
"Vande Mataram Degree College, Dombivli"
"Yeshwant Mahavidyalaya, Nanded"
"Vidya Pratishthan's Arts Science and Commerce College, Pune"
"Sant Rawool Maharaj Mahavidyalaya, Kudal"
"Changu Kana Thakur Arts, Commerce and Science College, New Panvel"
"Annasaheb Magar College, Pune"
"Prof Ramkrishna More Arts Commerce and Science College, Pune"
Vivekanand College Aurangabad - Vivekanand Arts Sardar Dalip Singh Commerce and Science College
SHIRUR Pune - Chandmal Tarachand Bora College
"Royal College of Arts Science and Commerce, Thane"
"Kaveri College of Arts Science and Commerce, Pune"
"Yashwantrao Mohite College of Arts Science and Commerce, Pune"
PVP College Ahmednagar - Padmashri Vikhe Patil College of Arts Science and Commerce
"Rizvi College of Arts Science and Commerce, Bandra"
PCCCS Pune - Pratibha College of Commerce and Computer Studies
"Karmaveer Bhaurao Patil Mahavidyalaya, Pandharpur"
R. D. National College - Rishi Dayaram and Seth Hassaram National College and Seth Wassiamull Assomull Science College
"Sir Sitaram and Lady Shantabai Patkar College of Arts and Science and VP Varde College of Commerce and Economics, Mumbai"
"Christ College, Pune"
"Mahatma Gandhi Vidyamandir's Maharaja Sayajirao Gaikwad Arts Science and Commerce College, Malegaon"
"Poona College of Arts Science and Commerce, Pune"
"Vivekanand Education Society's College of Arts, Science and Commerce, Mumbai"
"Shri SH Kelkar College of Arts Commerce and Science, Devgad"
"Vivekanand College, Kolhapur"
"KM Agrawal College of Arts Commerce and Science, Kalyan"
"Vikas College of Arts Science and Commerce, Mumbai"
"Shivchhatrapati College, Aurangabad"
