PIGCE Nagpur - Priyadarshini Indira Gandhi College of Engineering
"Yadavrao Tasgaonkar College of Engineering and Management, Raigad"
"Dhananjay Mahadik Group of Institutions, Kolhapur"
SRTTC Pune - Suman Ramesh Tulsiani Technical Campus Faculty of Engineering
"Bhonsla College of Engineering and Research, Akola"
"College of Engineering, Vairag"
"Flora Institute of Technology, Pune"
"Karmayogi Engineering College, Solapur"
"Shri Sai College of Engineering and Technology, Chandrapur"
"Pankaj Laddhad Institute of Technology and Management Studies, Buldana"
"Shri Saibaba Institute of Engineering, Research and Allied Sciences, Ahmednagar"
"Hon Shri Babanrao Pachpute Vichardhara Trust's Group of Institutions, Shrigonda"
"Dhamangaon Education Society's College of Engineering and Technology, Dhamangaon Rly"
"Guru Nanak Institute of Technology, Nagpur"
"Satara College of Engineering and Management, Satara"
"Sanjay Education Society's College of Engineering, Dhule"
"Pratap Institute of Management and Technology, Washim"
"Suresh Deshmukh College of Engineering, Wardha"
"KDK College of Engineering, Umrer"
OMCOE Wardha - Om College of Engineering
