"Maharashtra Udayagiri Institute of Management and Technology, Latur"
"Sai Institute of Engineering and Technology, Aurangabad"
"Siddhivinayak Technical Campus, Buldana"
SPCOE Pune - Sharadchandra Pawar College of Engineering
"Rajarshi Shahu College of Engineering, Buldana"
"Jawahar Education Society's Institute of Technology, Management and Research, Nashik"
"JT Mahajan College of Engineering, Faizpur"
"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur"
"Nagarjuna Institute of Engineering Technology and Management, Nagpur"
"Bhagwant Institute of Technology, Solapur"
"Manoharbhai Patel Institute of Engineering and Technology, Gondia"
WCEM Nagpur - Wainganga College of Engineering and Management
"Acharya Vinoba Bhave Institute of Technology, Wardha"
"Nanasaheb Mahadik College of Engineering, Sangli"
"Vilasrao Deshmukh College of Engineering and Technology, Nagpur"
"Vishwabharati Academy's College of Engineering, Ahmednagar"
"Smt Rajshree Mulak College of Engineering for Women, Nagpur"
SRPCE Nagpur - Sanmarg Shikshan Sanstha Smt Radhikatai Pandav College of Engineering
"Sindhudurg Shikshan Prasarak Mandal's College of Engineering, Sindhudurg"
"Namdeorao Poreddiwar College of Engineering and Technology, Gadchiroli"
BMIT Solapur - Brahmdevdada Mane Institute of Technology
"GH Raisoni Institute of Business Management, Jalgaon"
"Shri PD Patil College of Engineering, Paldhi"
"Vidya Niketan College of Engineering, Ahmednagar"
"Purandar College of Engineering and Management Research, Pune"
"Sanghavi College of Engineering, Nashik"
"VJ Shinde College of Engineering, Osmanabad"
"Excelsior Education Society KC College of Engineering, Thane"
"SDNCRES's Late Narayandas Bhawandas Chhabada Institute of Engineering and Technology, Satara"
"Shri Chhatrapati Shivaji College of Engineering, Ahmednagar"
