"JSPMs Bhivarabai Sawant Institute of Technology and Research, Pune"
"Mahatma Basaweshwar Education Society's College of Engineering, Ambajogai"
"Dr JJ Magdum College of Engineering, Jaysingpur"
"Alamuri Ratnamala Institute of Engineering and Technology, Thane"
"NBN Sinhgad Technical Institutes Campus, Ambegaon"
JCET Yavatmal - Jagadambha College of Engineering and Technology
"Guru Gobind Singh College of Engineering and Research Centre, Nashik"
"Gramin Technical and Management Campus, Nanded"
"KJ College of Engineering and Management Research, Pune"
"Dr DY Patil College of Engineering and Innovation, Pune"
"Bharati Vidyapeeth's College of Engineering, Lavale"
"Yashoda Technical Campus, Satara"
"KC College of Engineering and Management Studies and Research, Thane"
"Shri Chhatrapati Shivaji Maharaj College of Engineering, Ahmednagar"
"College of Engineering and Technology, North Maharashtra Knowledge City, Jalgaon"
"NBN Sinhgad School of Engineering, Ambegaon"
"ISB and M School of Technology, Pune"
"Dattakala Group of Institution, Pune"
"Terna Public Charitable Trust's College of Engineering, Osmanabad"
AEC Chikhli - Anuradha Engineering College
KGCE Karjat - Konkan Gyanpeeth College of Engineering
"MET Institute of Engineering, Nashik"
NMIET Pune - Nutan Maharashtra Institute of Engineering and Technology
"Gharda Institute of Technology, Ratnagiri"
JIT Nagpur - Jhulelal Institute of Technology
"Priyadarshini Bhagwati College of Engineering, Nagpur"
ACE Aurangabad - Aurangabad College of Engineering
"Mauli Group of Institutions, College of Engineering and Technology, Shegaon"
"Sanmati Engineering College, Washim"
PIET Nagpur - Priyadarshini Institute of Engineering and Technology
