BSCOER Narhe Pune - Bhivarabai Sawant College of Engineering and Research
UCOER Pune - Universal College of Engineering and Research
"Jamia Institute of Engineering and Management Studies, Nandurbar"
"Dilkap Research Institute of Engineering and Management Studies, Raigad"
"Vidarbha Institute of Technology, Nagpur"
"Shri Shivaji Institute of Engineering and Management Studies, Parbhani"
"Balaghat Engineering College, Latur"
"GM Vedak Institute of Technology, Raigad"
"Agnihotri College of Engineering, Wardha"
"Govindrao Wanjari College of Engineering and Technology, Nagpur"
"Vishwatmak Om Gurudev College of Engineering, Thane"
"Hanuman Vyayam Prasarak Mandal's College of Engineering and Technology, Amravati"
BDCE Wardha - Bapurao Deshmukh College of Engineering
"Shatabdi Institute of Engineering and Research, Nashik"
"Genba Sopanroa Moze Trust's Parvatibai Genba Moze College of Engineering, Pune"
"GH Raisoni College of Engineering and Management, Amravati"
"Watumull Institute of Electronics Engineering and Computer Technology, Mumbai"
"Vidya Prasarini Sabha's College of Engineering and Technology, Lonavala"
"Shri Chhatrapati Shivajiraje College of Engineering, Pune"
"Metropolitan Institute of Technology and Management, Sindhudurg"
SVIT Nashik - Sir Visvesvaraya Institute of Technology
"Yadavrao Tasgaonkar Institute of Engineering and Technology, Raigad"
"Nuva College of Engineering and Technology, Nagpur"
"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology, Khalapur"
SITRC Nashik - Sandip Institute of Technology and Research Center
"Sandipani Technical Campus Faculty of Engineering and Polytechnic, Latur"
"Al-Ameen Educational and Medical Foundation's College of Engineering and Management Study, Pune"
"PK Technical Campus, Pune"
"Vilasrao Deshmukh Foundation Group of Institutions- School of Engineering and Technology, Latur"
"Shri Gulabrao Deokar College of Engineering, Jalgaon"
