IIT Bombay - Indian Institute of Technology
COEP Pune - College of Engineering
VJTI Mumbai - Veermata Jijabai Technological Institute
VNIT Nagpur - Visvesvaraya National Institute of Technology
RTMNU Nagpur - Rashtrasant Tukadoji Maharaj Nagpur University
GECA Aurangabad - Government College of Engineering
GCOEA Amravati - Government College of Engineering
"Government College of Engineering and Research, Pune"
"Shri Guru Gobind Singhji Institute of Engineering and Technology, Vishnupuri"
"SNDT Womens University, Mumbai"
"Usha Mittal Institute of Technology, Mumbai"
"Government College of Engineering, Jalgaon"
DBATU Lonere - Dr Babasaheb Ambedkar Technological University
NDA Pune - National Defence Academy
"Government College of Engineering, Chandrapur"
"Gondwana University, Gadchiroli"
